SMILES,Has_Scaffold
COc1ccc(Cl)cc1CNC(=O)NNC(=O)c1cc(-c2cc(C)c(C)c(C)c2C)nc2c(Br)c(F)c(Br)cc12,True
Cc1c(-c2cc(C(=O)Nc3ccc(Br)c(Br)c3C)c3cc(F)c(Cl)c(Br)c3n2)cc(Br)c(Br)c1F,True
CCN1CCCN1C(=O)c1cc(-c2cc(Br)c(Cl)c(Cl)c2O)nc2c(Br)c(Br)c(F)cc12,True
Cc1cc(-c2cc(C(=O)NCc3c(C)cccc3C)c3cc(I)c(F)cc3n2)c(C)c(Cl)c1Cl,True
Cc1cccc(-c2cc(C(=O)NC(C)c3c(C)ccc(C)c3F)c3cc(I)c(C)c(Br)c3n2)c1C,True
CCSc1ccc(C)c(F)c1NC(=O)CNC(=O)c1cc(-c2cc(Br)c(Br)c(OC)c2)nc2c(Cl)c(Cl)c(F)c(F)c12,True
CCNC(=O)NNC(=O)c1cc(-c2cc(C)c(Cl)c(Cl)c2OC)nc2c(I)c(F)c(C)cc12,True
CNc1ccc(C)c(C)c1NC(=O)c1cc(-c2cc(Br)c(Br)c(OC)c2)nc2cc(Br)c(Cl)cc12,True
N#CC1CCCN1C(=O)CNC(=O)c1cc(-c2ccc(O)c(Cl)c2Cl)nc2c(Br)c(F)c(Cl)cc12,True
Cc1cc(C)c(CCNC(=O)c2cc(-c3cc(C)c(C)c(C)c3C)nc3cc(Cl)c(C)cc23)cc1C,True
Cc1cc(-c2cc(C(=O)Nc3c(C)ccc(F)c3C)c3cc(Br)c(F)cc3n2)c(C)c(F)c1Br,True
Cc1cc(C)c(CNC(=O)c2cc(-c3cc(Br)c(Br)c(Cl)c3C)nc3ccc(Br)cc23)c(C)c1,True
Cc1cc(-c2cc(C(=O)NCC(=O)Nc3c(C)cc(F)c(C)c3Cl)c3cc(F)c(F)c(F)c3n2)c(C)c(Cl)c1Br,True
Cc1cc(F)cc(C)c1NC(=O)c1cc(-c2cc(Br)c(Br)c(F)c2Cl)nc2c(Cl)c(F)ccc12,True
Cc1cc(-c2cc(C(=O)NCC(=O)Nc3c(C)ccc(C)c3C)c3cc(F)c(F)c(Cl)c3n2)c(C)c(C)c1C,True
CN1CCNCC1NC(=O)c1cc(-c2cc(Br)c(Br)c(F)c2F)nc2cc(Br)c(Cl)c(Cl)c12,True
COC(=O)c1cc(F)cc(C)c1CNC(=O)c1cc(-c2cc(Br)c(Br)c(Cl)c2C)nc2cc(F)c(Br)cc12,True
Cc1cc(C)c(CCNC(=O)c2cc(-c3ccc(Br)c(F)c3C)nc3c(Br)c(F)c(Cl)cc23)c(C)c1C,True
CC(=O)OCCN(C)C(=O)c1cc(-c2ccc(C)c(C)c2C)nc2c(Cl)c(I)c(F)cc12,True
Cc1c(-c2cc(C(=O)NC3CCNC3)c3cc(F)ccc3n2)cc(Br)c(Br)c1Br,True
CCOc1ccccc1CNC(=O)c1cc(-c2cc(Br)c(Cl)c(Cl)c2C)nc2cc(Cl)c(C)cc12,True
Cc1cc2c(C(=O)Nc3c(C)cc(Br)c(F)c3C)cc(-c3cc(C)c(Br)c(Cl)c3Cl)nc2c(Br)c1Cl,True
COc1cc(-c2cc(C(=O)Nc3c(C)cc(F)cc3OC)c3cc(C)c(Cl)c(Cl)c3n2)cc(Br)c1Br,True
Cc1cc(C)c(CCNC(=O)c2cc(-c3cccc(Br)c3C)nc3cc(F)c(Br)cc23)cc1C,True
CCn1cc(F)c(F)c1NC(=O)c1cc(-c2cc(Br)c(F)c(F)c2C)nc2c(Br)c(Br)c(Cl)cc12,True
Cc1cc(C)c(CCNC(=O)c2cc(-c3ccc(O)c(Cl)c3C)nc3c(C)c(C)c(C)c(C)c23)cc1C,True
CC(C)(NC(=O)c1cc(-c2ccc(F)cc2Cl)nc2c(Cl)cccc12)c1ccc(Cl)cc1Cl,True
CCn1cc(C)c(C)c1CNC(=O)c1cc(-c2cc(C)c(F)c(Cl)c2C)nc2cc(F)c(F)cc12,True
COc1ccc(Br)cc1CNC(=O)c1cc(-c2cc(C)c(Br)cc2C)nc2c(Br)c(Cl)c(C)cc12,True
Cc1ccc(Br)c(C)c1NC(=O)NNC(=O)c1cc(-c2ccc(Br)c(C)c2C)nc2cc(Br)c(Br)cc12,True
COc1ccccc1CNC(=O)c1cc(-c2cc(C)c(F)c(F)c2C)nc2cc(F)c(F)cc12,True
Cc1cc2c(C(=O)NCc3c(C)cccc3F)cc(-c3cc(C)c(Cl)c(F)c3O)nc2c(Cl)c1F,True
CCOc1cccc(Br)c1CNC(=O)c1cc(-c2cc(Cl)c(Cl)c(Cl)c2C)nc2cc(Br)c(Br)cc12,True
CC1CN(C)CCN1C(=O)c1cc(-c2ccccc2Cl)nc2c(Br)c(Cl)c(Cl)c(F)c12,True
COc1ccc(Br)c(C)c1NC(=O)c1cc(-c2cc(C)c(Br)c(C)c2C)nc2cc(F)c(Cl)cc12,True
Cc1ccc(Br)c(C)c1NC(=O)c1cc(-c2ccc(F)c(Br)c2C)nc2c(Cl)c(Cl)c(Cl)c(C)c12,True
Cc1cc(-c2cc(C(=O)NCc3ccccc3C)c3cc(Br)c(Cl)c(Cl)c3n2)c(C)cc1Br,True
Cc1cc(C)c(CNC(=O)c2cc(-c3cc(Cl)c(Cl)c(Cl)c3Cl)nc3c(F)c(Br)c(Br)cc23)cc1C,True
COc1cc(-c2cc(C(=O)NNC(=O)Nc3c(C)cc(C)c(F)c3C)c3cc(Br)c(Br)cc3n2)cc(Br)c1Br,True
*.*.CNC(=O)c1cc(-c2cc(C)c(F)c(F)c2C)nc2c(Br)c(Cl)c(C)cc12,True
COc1c(O)ccc(-c2cc(C(=O)NCCc3cc(Br)ccc3C)c3c(F)c(Br)c(F)cc3n2)c1C,True
CCOC(=O)c1ccc(C)c(C)c1CCNC(=O)c1cc(-c2cc(Br)c(I)c(Cl)c2C)nc2ccc(F)cc12,True
CCc1ccc(F)c(C)c1NC(=O)CNC(=O)c1cc(-c2cc(Cl)c(OC)c(OC)c2OC)nc2c(Cl)c(F)c(C)cc12,True
Cc1cc(Br)c(C)c(-c2cc(C(=O)NCc3ccccc3C)c3ccc(F)c(Br)c3n2)c1,True
CCc1ccc(Br)c(C)c1NC(=O)NNC(=O)c1cc(-c2ccc(Cl)c(Cl)c2Cl)nc2c(Cl)c(F)c(C)cc12,True
CCN1CCCCN1C(=O)c1cc(-c2cc(Br)c(F)c(F)c2F)nc2c(Br)c(F)c(F)cc12,True
CCOc1ccc(F)c(C)c1CN(C)C(=O)c1cc(-c2ccc(F)c(F)c2C)nc2c(Cl)c(F)c(F)cc12,True
Cc1cc(F)cc(C)c1NC(=O)c1cc(-c2cc(Br)c(F)c(Cl)c2C)nc2ccc(F)cc12,True
COc1ccc(F)c(C)c1NC(=O)c1cc(-c2cc(Br)c(Br)c(Cl)c2C)nc2cc(F)ccc12,True
Cc1cc(C)c(NC(=O)c2cc(-c3cc(Br)c(F)c(Cl)c3Cl)nc3c(Br)c(F)c(C)cc23)c(C)c1C,True
Cc1cccc(C)c1CNC(=O)c1cc(-c2cc(Br)c(Br)c(F)c2Cl)nc2cc(F)cc(F)c12,True
CCNc1ccc(C)c(C)c1NC(=O)CNC(=O)c1cc(-c2cccc(OC)c2)nc2cc(F)c(Br)cc12,True
*.*.CNC(=O)c1cc(-c2cc(C)c(F)c(F)c2F)nc2c(C)c(Br)c(F)cc12,True
CCc1ccc(Br)c(C)c1NC(=O)CNC(=O)c1cc(-c2cc(C)c(Br)c(OC)c2C)nc2ccc(Br)cc12,True
Cc1cc(-c2cc(C(=O)N(C)CCN(C)C)c3cc(Br)c(F)cc3n2)c(C)c(C)c1C,True
CCC(C)N1CCCN1C(=O)c1cc(-c2cc(Br)c(F)c(F)c2C)nc2cc(F)c(Br)cc12,True
CCOc1cc(Br)c(Br)c(C)c1NC(=O)c1cc(-c2cccc(OC)c2C)nc2ccc(F)c(Cl)c12,True
Cc1cc(-c2cc(C(=O)Nc3c(C)ccc(F)c3C)c3cc(F)ccc3n2)c(C)c(Cl)c1Br,True
CCC(C)NC(=O)c1cc(-c2cc(C)c(F)c(C)c2C)nc2c(Cl)cc(F)cc12,True
Cc1cc(F)ccc1-c1cc(C(=O)NCC(=O)Nc2c(C)ccc(C)c2C)c2cc(Br)c(Br)cc2n1,True
COC(=O)c1ccc(F)c(C)c1NC(=O)NNC(=O)c1cc(-c2ccc(Br)c(Cl)c2Cl)nc2c(Cl)c(Br)c(Cl)cc12,True
CNC(=O)c1cc(-c2cc(OC)c(OC)c(OC)c2)nc2c(Br)c(C)c(Cl)cc12,True
Cc1cc(C)c(NC(=O)c2cc(-c3cc(C)c(Br)c(F)c3C)nc3c(Cl)c(Cl)c(F)cc23)c(F)c1C,True
Cc1ccc(C)c(NC(=O)CNC(=O)c2cc(-c3cc(Br)c(Br)c(F)c3C)nc3c(Cl)c(Br)c(Cl)cc23)c1C,True
COc1ccc(Br)c(Cl)c1NC(=O)c1cc(-c2cc(Br)c(Br)c(F)c2Cl)nc2c(Cl)c(Cl)c(C)cc12,True
COc1ccc(Br)cc1CNC(=O)c1cc(-c2cc(Br)c(F)c(C)c2C)nc2ccc(Cl)c(Cl)c12,True
*.*.CNCCCCNC(=O)c1cc(-c2cc(C)c(Br)c(OC)c2)nc2c(Br)c(C)c(C)cc12,True
Cc1cnc(C)c(NC(=O)c2cc(-c3cc(C)c(Br)c(Cl)c3C)nc3ccc(Cl)cc23)c1C,True
O=C(Nc1ccc(Br)c(Br)c1)c1cc(-c2ccc(Cl)c(Cl)c2Cl)nc2c(Br)c(F)ccc12,True
Cc1cc2c(C(=O)Nc3c(C)ccc(Br)c3C)cc(-c3cc(Br)c(Br)c(C)c3C)nc2c(Br)c1Br,True
COc1cc(-c2cc(C(=O)NCC(C)C)c3cc(Cl)c(Cl)cc3n2)cc(Br)c1OC,True
*.*.CNCCCNC(=O)c1cc(-c2cccc(OC)c2C)nc2c(Br)c(Cl)c(I)cc12,True
*.*.CNC(=O)CNC(=O)c1cc(-c2cc(Br)c(OC)c(OC)c2C)nc2cc(Cl)c(C)cc12,True
CCC(C)N(C)C(=O)c1cc(-c2cc(C)c(C)cc2C)nc2c(Cl)c(Br)ccc12,True
NCC1CCN(C(=O)c2cc(-c3ccc(Br)cc3)nc3c(Br)cc(Br)cc23)CC1,True
CCNCCNC(=O)c1cc(-c2ccc(Br)c(O)c2C)nc2c(Br)c(Br)c(C)cc12,True
CCC(C)c1ccc(C)cc1NC(=O)c1cc(-c2cc(C)c(Br)c(F)c2C)nc2cc(Br)c(Br)cc12,True
COc1cc(-c2cc(C(=O)Nc3c(C)cc(F)cc3C)c3cc(F)c(C)c(Cl)c3n2)cc(Br)c1OC,True
CCOC(=O)c1ccc(F)c(C)c1CNC(=O)c1cc(-c2ccc(O)c(F)c2F)nc2cc(F)c(F)cc12,True
